Class Code,Label Text
P00-P04,"Schädigung des Fetus und Neugeborenen durch mütterliche Faktoren und durch Komplikationen bei Schwangerschaft, Wehentätigkeit und Entbindung"
P05-P08,Störungen im Zusammenhang mit der Schwangerschaftsdauer und dem fetalen Wachstum
P10-P15,Geburtstrauma
P20-P29,"Krankheiten des Atmungs- und Herz-Kreislaufsystems, die für die Perinatalperiode spezifisch sind"
P35-P39,"Infektionen, die für die Perinatalperiode spezifisch sind"
P50-P61,Hämorrhagische und hämatologische Krankheiten beim Fetus und Neugeborenen
P70-P74,"Transitorische endokrine und Stoffwechselstörungen, die für den Fetus und das Neugeborene spezifisch sind"
P75-P78,Krankheiten des Verdauungssystems beim Fetus und Neugeborenen
P80-P83,Krankheitszustände mit Beteiligung der Haut und der Temperaturregulation beim Fetus und Neugeborenen
P90-P96,"Sonstige Störungen, die ihren Ursprung in der Perinatalperiode haben"
Q00-Q07,Angeborene Fehlbildungen des Nervensystems
Q10-Q18,"Angeborene Fehlbildungen des Auges, des Ohres, des Gesichtes und des Halses"
Q20-Q28,Angeborene Fehlbildungen des Kreislaufsystems
Q30-Q34,Angeborene Fehlbildungen des Atmungssystems
Q35-Q37,"Lippen-, Kiefer- und Gaumenspalte"
Q38-Q45,Sonstige angeborene Fehlbildungen des Verdauungssystems
Q50-Q56,Angeborene Fehlbildungen der Genitalorgane
Q60-Q64,Angeborene Fehlbildungen des Harnsystems
Q65-Q79,Angeborene Fehlbildungen und Deformitäten des Muskel-Skelett-Systems
Q80-Q89,Sonstige angeborene Fehlbildungen
Q90-Q99,"Chromosomenanomalien, anderenorts nicht klassifiziert"
R00-R09,"Symptome, die das Kreislaufsystem und das Atmungssystem betreffen"
R10-R19,"Symptome, die das Verdauungssystem und das Abdomen betreffen"
R20-R23,"Symptome, die die Haut und das Unterhautgewebe betreffen"
R25-R29,"Symptome, die das Nervensystem und das Muskel-Skelett-System betreffen"
R30-R39,"Symptome, die das Harnsystem betreffen"
R40-R46,"Symptome, die das Erkennungs- und Wahrnehmungsvermögen, die Stimmung und das Verhalten betreffen"
R47-R49,"Symptome, die die Sprache und die Stimme betreffen"
R50-R69,Allgemeinsymptome
R70-R79,Abnorme Blutuntersuchungsbefunde ohne Vorliegen einer Diagnose
R80-R82,Abnorme Urinuntersuchungsbefunde ohne Vorliegen einer Diagnose
R83-R89,"Abnorme Befunde ohne Vorliegen einer Diagnose bei der Untersuchung anderer Körperflüssigkeiten, Substanzen und Gewebe"
R90-R94,Abnorme Befunde ohne Vorliegen einer Diagnose bei bildgebender Diagnostik und Funktionsprüfungen
R95-R99,Ungenau bezeichnete und unbekannte Todesursachen
S00-S09,Verletzungen des Kopfes
S10-S19,Verletzungen des Halses
S20-S29,Verletzungen des Thorax
S30-S39,"Verletzungen des Abdomens, der Lumbosakralgegend, der Lendenwirbelsäule und des Beckens"
S40-S49,Verletzungen der Schulter und des Oberarmes
S50-S59,Verletzungen des Ellenbogens und des Unterarmes
S60-S69,Verletzungen des Handgelenkes und der Hand
S70-S79,Verletzungen der Hüfte und des Oberschenkels
S80-S89,Verletzungen des Knies und des Unterschenkels
S90-S99,Verletzungen der Knöchelregion und des Fußes
T00-T07,Verletzungen mit Beteiligung mehrerer Körperregionen
T08-T14,"Verletzungen nicht näher bezeichneter Teile des Rumpfes, der Extremitäten oder anderer Körperregionen"
T15-T19,Folgen des Eindringens eines Fremdkörpers durch eine natürliche Körperöffnung
T20-T32,Verbrennungen oder Verätzungen
T20-T25,"Verbrennungen oder Verätzungen der äußeren Körperoberfläche, Lokalisation bezeichnet"
T26-T28,"Verbrennungen oder Verätzungen, die auf das Auge und auf innere Organe begrenzt sind"
T29-T32,Verbrennungen oder Verätzungen mehrerer und nicht näher bezeichneter Körperregionen
T33-T35,Erfrierungen
T36-T50,"Vergiftungen durch Arzneimittel, Drogen und biologisch aktive Substanzen"
T51-T65,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen
T66-T78,Sonstige und nicht näher bezeichnete Schäden durch äußere Ursachen
T79-T79,Bestimmte Frühkomplikationen eines Traumas
T80-T88,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert"
T90-T98,"Folgen von Verletzungen, Vergiftungen und sonstigen Auswirkungen äußerer Ursachen"
V01-X59,Unfälle
V01-V99,Transportmittelunfälle
V01-V09,Fußgänger bei Transportmittelunfall verletzt
V10-V19,Benutzer eines Fahrrades bei Transportmittelunfall verletzt
V20-V29,Benutzer eines Motorrades bei Transportmittelunfall verletzt
V30-V39,Benutzer eines dreirädrigen Kraftfahrzeuges bei Transportmittelunfall verletzt
V40-V49,Benutzer eines Personenkraftwagens bei Transportmittelunfall verletzt
V50-V59,Benutzer eines Lieferwagens bei Transportmittelunfall verletzt
V60-V69,Benutzer eines Lastkraftwagens bei Transportmittelunfall verletzt
V70-V79,Autobusbenutzer bei Transportmittelunfall verletzt
V80-V89,Sonstige Landtransportmittelunfälle
V90-V94,Wasserfahrzeugunfälle
V95-V97,Luftverkehrs- und Raumfahrtunfälle
V98-V99,Sonstige und nicht näher bezeichnete Transportmittelunfälle
W00-X59,Sonstige äußere Ursachen von Unfallverletzungen
W00-W19,Stürze
W20-W49,Exposition gegenüber mechanischen Kräften unbelebter Objekte
W50-W64,Exposition gegenüber mechanischen Kräften belebter Objekte
W65-W74,Unfälle durch Ertrinken und Untergehen
W75-W84,Sonstige unfallbedingte Gefährdung der Atmung
W85-W99,"Exposition gegenüber elektrischem Strom, Strahlung und extremer Temperatur der Umgebungsluft sowie extremem Druck"
X00-X09,"Exposition gegenüber Rauch, Feuer und Flammen"
X10-X19,Verbrennung oder Verbrühung durch Hitze und heiße Substanzen
X20-X29,Kontakt mit giftigen Tieren und Pflanzen
X30-X39,Exposition gegenüber Naturkräften
X40-X49,Akzidentelle Vergiftung durch und Exposition gegenüber schädliche(n) Substanzen
X50-X57,"Überanstrengung, Reisen und Entbehrung"
X58-X59,Akzidentelle Exposition gegenüber sonstigen und nicht näher bezeichneten Faktoren
X60-X84,Vorsätzliche Selbstbeschädigung
X85-Y09,Tätlicher Angriff
Y10-Y34,"Ereignis, dessen nähere Umstände unbestimmt sind"
Y35-Y36,Gesetzliche Maßnahmen und Kriegshandlungen
Y40-Y84,Komplikationen bei der medizinischen und chirurgischen Behandlung
Y40-Y59,"Unerwünschte Nebenwirkungen bei therapeutischer Anwendung von Arzneimitteln, Drogen oder biologisch aktiven Substanzen"
Y60-Y69,Zwischenfälle bei chirurgischen Eingriffen und medizinischer Behandlung
Y70-Y82,Medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen bei diagnostischer und therapeutischer Anwendung
Y83-Y84,"Chirurgische und sonstige medizinische Maßnahmen als Ursache einer abnormen Reaktion eines Patienten oder einer späteren Komplikation, ohne Angabe eines Zwischenfalls zum Zeitpunkt der Durchführung der Maßnahme"
Y85-Y89,Folgezustände äußerer Ursachen von Morbidität und Mortalität
Y90-Y98,Zusätzliche Faktoren mit Bezug auf anderenorts klassifizierte Ursachen von Morbidität und Mortalität
Z00-Z13,"Personen, die das Gesundheitswesen zur Untersuchung und Abklärung in Anspruch nehmen"
Z20-Z29,Personen mit potentiellen Gesundheitsrisiken hinsichtlich übertragbarer Krankheiten
Z30-Z39,"Personen, die das Gesundheitswesen im Zusammenhang mit Problemen der Reproduktion in Anspruch nehmen"
Z40-Z54,"Personen, die das Gesundheitswesen zum Zwecke spezifischer Maßnahmen und zur medizinischen Betreuung in Anspruch nehmen"
Z55-Z65,Personen mit potentiellen Gesundheitsrisiken aufgrund sozioökonomischer oder psychosozialer Umstände
Z70-Z76,"Personen, die das Gesundheitswesen aus sonstigen Gründen in Anspruch nehmen"
Z80-Z99,"Personen mit potentiellen Gesundheitsrisiken aufgrund der Familien- oder Eigenanamnese und bestimmte Zustände, die den Gesundheitszustand beeinflussen"
U00-U49,Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie und nicht belegte Schlüsselnummern
U82-U85,Infektionserreger mit Resistenzen gegen bestimmte Antibiotika und Chemotherapeutika
